po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location,rainy_season,rainfall_index,holiday_period,fuel_price_ngn,usd_ngn_rate,port_congestion_index,disruption_event,disruption_severity,supplier_name_supplier,financial_health_score,capacity_utilization_pct,employee_turnover_pct,quality_defect_rate,inventory_days,payment_default_risk,delivery_delay_days,is_late_delivery,composite_risk_score,risk_category,supplier_avg_delay,supplier_late_delivery_rate,order_size_vs_avg,days_since_last_order
PO100771,2024-05-06,SUP1001,Raw Materials Supplier 2 (UK),MAT2005,Raw Materials Item 6,Raw Materials,356,33343.79,11870390.71,7486.58,USD,2024-05-17,2024-05-17,Delivered,Paid,Chidi Eze,Kano,1,0.5,0,242.51,974.58,60.0,None,0,Raw Materials Supplier 2 (UK),67.0,94.0,4.9,3.54,59.0,14.7,0.0,0,32.4,Medium Risk,-2.0,0.1,0.1274822923177628,4.0
PO100771,2024-05-06,SUP1001,Raw Materials Supplier 2 (UK),MAT2005,Raw Materials Item 6,Raw Materials,356,33343.79,11870390.71,7486.58,USD,2024-05-17,2024-05-17,Delivered,Paid,Chidi Eze,Kano,1,0.5,0,242.51,974.58,60.0,None,0,Raw Materials Supplier 2 (UK),70.0,91.1,2.1,7.12,71.0,8.3,0.0,0,33.8,Medium Risk,-1.6,0.1,0.1274822923177628,0.0
PO101324,2024-05-12,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,581,388947.15,225978295.13,184410.36,USD,2024-06-15,2024-06-15,Delivered,Overdue,Chidi Eze,Kano,1,0.78,0,233.92,1024.1,58.0,None,0,Raw Materials Supplier 2 (UK),67.0,94.0,4.9,3.54,59.0,14.7,0.0,0,32.1,Medium Risk,-0.8,0.1,2.4268983036054026,6.0
PO101324,2024-05-12,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,581,388947.15,225978295.13,184410.36,USD,2024-06-15,2024-06-15,Delivered,Overdue,Chidi Eze,Kano,1,0.78,0,233.92,1024.1,58.0,None,0,Raw Materials Supplier 2 (UK),70.0,91.1,2.1,7.12,71.0,8.3,0.0,0,33.5,Medium Risk,-0.8,0.1,2.4268983036054026,0.0
PO101996,2024-05-14,SUP1001,Raw Materials Supplier 2 (UK),MAT2011,Raw Materials Item 12,Raw Materials,733,210087.64,153994238.76,104143.64,USD,2024-07-12,2024-08-01,Partial,Pending,Sarah Ahmed,Ibadan,1,0.63,0,248.91,982.92,54.0,None,0,Raw Materials Supplier 2 (UK),67.0,94.0,4.9,3.54,59.0,14.7,20.0,1,31.5,Medium Risk,-0.4,0.0,1.6538241276519596,2.0
PO101996,2024-05-14,SUP1001,Raw Materials Supplier 2 (UK),MAT2011,Raw Materials Item 12,Raw Materials,733,210087.64,153994238.76,104143.64,USD,2024-07-12,2024-08-01,Partial,Pending,Sarah Ahmed,Ibadan,1,0.63,0,248.91,982.92,54.0,None,0,Raw Materials Supplier 2 (UK),70.0,91.1,2.1,7.12,71.0,8.3,20.0,1,32.9,Medium Risk,4.0,0.1,1.6538241276519596,0.0
PO100717,2024-05-19,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,171,24476.34,4185454.18,3053.18,USD,2024-08-03,2024-08-06,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.55,0,250.28,960.24,61.0,None,0,Raw Materials Supplier 2 (UK),67.0,94.0,4.9,3.54,59.0,14.7,3.0,1,32.6,Medium Risk,8.0,0.2,0.04494976671727111,5.0
PO100717,2024-05-19,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,171,24476.34,4185454.18,3053.18,USD,2024-08-03,2024-08-06,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.55,0,250.28,960.24,61.0,None,0,Raw Materials Supplier 2 (UK),70.0,91.1,2.1,7.12,71.0,8.3,3.0,1,33.9,Medium Risk,8.6,0.3,0.04494976671727111,0.0
PO101047,2024-05-30,SUP1001,Raw Materials Supplier 2 (UK),MAT2002,Raw Materials Item 3,Raw Materials,457,144749.38,66150467.12,46715.58,USD,2024-08-20,2024-08-20,Delivered,Paid,Chidi Eze,Ibadan,1,0.87,0,223.81,913.34,51.0,None,0,Raw Materials Supplier 2 (UK),67.0,94.0,4.9,3.54,59.0,14.7,0.0,0,31.1,Medium Risk,9.2,0.4,0.7104242305389454,11.0
PO101047,2024-05-30,SUP1001,Raw Materials Supplier 2 (UK),MAT2002,Raw Materials Item 3,Raw Materials,457,144749.38,66150467.12,46715.58,USD,2024-08-20,2024-08-20,Delivered,Paid,Chidi Eze,Ibadan,1,0.87,0,223.81,913.34,51.0,None,0,Raw Materials Supplier 2 (UK),70.0,91.1,2.1,7.12,71.0,8.3,0.0,0,32.4,Medium Risk,9.2,0.4,0.7104242305389454,0.0
PO102116,2024-06-01,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,442,385591.16,170431293.83,123619.06,USD,2024-07-05,2024-07-10,Partial,Paid,Chidi Eze,Ibadan,1,0.65,0,254.12,973.98,67.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,5.0,1,35.4,Medium Risk,5.2,0.4,1.8303502008427643,2.0
PO102256,2024-06-07,SUP1001,Raw Materials Supplier 2 (UK),MAT2000,Raw Materials Item 1,Raw Materials,196,194424.47,38107195.5,26242.06,USD,2024-08-19,2024-08-26,Delivered,Pending,John Obi,Kano,1,0.61,0,237.1,988.4,68.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,7.0,1,35.5,Medium Risk,2.2,0.5,0.40925296856897936,6.0
PO101494,2024-06-13,SUP1001,Raw Materials Supplier 2 (UK),MAT2015,Raw Materials Item 16,Raw Materials,883,60823.0,53706710.8,63934.85,USD,2024-07-13,2024-07-13,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.63,0,211.33,969.54,61.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,0.0,0,34.5,Medium Risk,3.0,0.6,0.5767842670808894,6.0
PO101661,2024-06-15,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,792,32771.03,25954655.81,30230.08,USD,2024-07-22,2024-08-13,Delivered,Paid,Sarah Ahmed,Kano,1,0.52,0,232.08,947.24,70.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,22.0,1,35.8,Medium Risk,2.4,0.6,0.2787405317829964,2.0
PO100752,2024-06-18,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,722,44443.31,32088073.08,21576.03,USD,2024-07-25,2024-07-25,Delivered,Paid,Sarah Ahmed,Kano,1,0.74,0,214.43,996.47,63.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,0.0,0,34.8,Medium Risk,6.8,0.7,0.34461048606026,3.0
PO101508,2024-06-18,SUP1001,Raw Materials Supplier 2 (UK),MAT2014,Raw Materials Item 15,Raw Materials,542,111176.73,60257788.38,75019.12,USD,2024-07-19,2024-07-24,Delivered,Pending,Sarah Ahmed,Lagos,1,0.74,0,214.43,996.47,63.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,5.0,1,34.8,Medium Risk,6.8,0.6,0.6471396923952683,0.0
PO101498,2024-06-19,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,752,24323.78,18291483.21,12228.29,USD,2024-09-03,2024-10-03,Delivered,Paid,Chidi Eze,Kano,1,0.89,0,251.0,942.84,51.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,30.0,1,33.0,Medium Risk,6.8,0.6,0.19644174033279738,1.0
PO101583,2024-06-20,SUP1001,Raw Materials Supplier 2 (UK),MAT2016,Raw Materials Item 17,Raw Materials,695,239420.06,166396942.45,109505.95,USD,2024-07-06,2024-07-24,Delivered,Pending,Chidi Eze,Kano,1,0.72,0,204.9,897.05,42.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,18.0,1,31.6,Medium Risk,11.4,0.6,1.787023205590244,1.0
PO100927,2024-06-26,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,94,27662.13,2600240.27,1980.19,USD,2024-08-15,2024-08-24,Partial,Overdue,Sarah Ahmed,Kano,1,0.53,0,257.2,950.82,58.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,9.0,1,34.0,Medium Risk,15.0,0.6,0.027925331043847205,6.0
PO100597,2024-06-28,SUP1001,Raw Materials Supplier 2 (UK),MAT2016,Raw Materials Item 17,Raw Materials,98,276180.07,27065646.88,29942.33,USD,2024-07-14,2024-07-20,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.68,0,215.12,912.22,47.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,6.0,1,32.4,Medium Risk,12.4,0.7,0.2906720420262817,2.0
PO101616,2024-06-28,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,986,33948.57,33473294.04,23524.17,USD,2024-08-04,2024-08-16,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.68,0,215.12,912.22,47.0,None,0,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,12.0,1,32.4,Medium Risk,13.6,0.8,0.3594870935504116,0.0
PO102174,2024-06-29,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,300,25281.74,7584521.43,5044.73,USD,2024-09-13,2024-09-13,Delivered,Paid,Sarah Ahmed,Lagos,1,0.39,0,224.76,1028.26,54.0,Political Unrest,5,Raw Materials Supplier 2 (UK),57.0,78.0,5.7,1.63,35.0,12.2,0.0,0,40.9,Medium Risk,15.0,0.8,0.08145411567751136,1.0
PO101638,2024-07-09,SUP1001,Raw Materials Supplier 2 (UK),MAT2011,Raw Materials Item 12,Raw Materials,246,221707.85,54540131.6,39071.55,USD,2024-09-06,2024-09-26,Delivered,Paid,Sarah Ahmed,Lagos,1,0.68,0,231.82,925.84,50.0,None,0,Raw Materials Supplier 2 (UK),77.0,88.6,10.6,3.61,57.0,19.4,20.0,1,32.7,Medium Risk,9.0,0.7,0.5857348060012131,10.0
PO100172,2024-07-14,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,997,38410.84,38295606.87,24814.43,USD,2024-08-20,2024-09-14,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.75,0,241.51,1059.79,46.0,None,0,Raw Materials Supplier 2 (UK),77.0,88.6,10.6,3.61,57.0,19.4,25.0,1,32.1,Medium Risk,9.4,0.8,0.4112764161481812,5.0
PO101001,2024-07-15,SUP1001,Raw Materials Supplier 2 (UK),MAT2019,Raw Materials Item 20,Raw Materials,995,546682.69,543949272.3,594830.31,USD,2024-08-21,2024-09-12,Delivered,Paid,Chidi Eze,Kano,1,0.86,0,229.18,1049.12,44.0,None,0,Raw Materials Supplier 2 (UK),77.0,88.6,10.6,3.61,57.0,19.4,22.0,1,31.8,Medium Risk,12.6,0.8,5.8417538084037455,1.0
PO101977,2024-08-02,SUP1001,Raw Materials Supplier 2 (UK),MAT2000,Raw Materials Item 1,Raw Materials,268,194211.5,52048681.17,50878.69,USD,2024-10-14,2024-10-22,Delivered,Paid,John Obi,Ibadan,1,0.9,0,252.79,1018.75,43.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,8.0,1,34.0,Medium Risk,15.8,0.9,0.5589778255637532,18.0
PO100870,2024-08-14,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,435,32468.71,14123890.11,9723.85,USD,2024-10-03,2024-10-10,Delivered,Overdue,Sarah Ahmed,Lagos,1,0.41,0,221.08,1096.49,63.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,7.0,1,37.0,Medium Risk,15.0,0.9,0.1516837930321991,12.0
PO101566,2024-08-14,SUP1001,Raw Materials Supplier 2 (UK),MAT2016,Raw Materials Item 17,Raw Materials,490,211287.68,103530964.25,114293.68,USD,2024-08-30,2024-09-17,Delivered,Pending,Sarah Ahmed,Lagos,1,0.41,0,221.08,1096.49,63.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,18.0,1,37.0,Medium Risk,16.4,0.9,1.1118728078040112,0.0
PO102181,2024-08-24,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,396,30224.18,11968776.56,11907.57,USD,2024-11-08,2024-11-29,Delivered,Paid,Chidi Eze,Kano,1,0.67,0,269.95,1022.51,58.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,21.0,1,36.3,Medium Risk,16.0,0.9,0.12853890907082935,10.0
PO101053,2024-08-25,SUP1001,Raw Materials Supplier 2 (UK),MAT2003,Raw Materials Item 4,Raw Materials,130,365195.9,47475467.57,29765.34,USD,2024-09-01,2024-09-30,Partial,Pending,John Obi,Lagos,1,0.68,0,237.32,1098.83,59.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,29.0,1,36.4,Medium Risk,15.2,0.9,0.5098637090001233,1.0
PO100699,2024-08-27,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,652,34817.93,22701288.95,15234.05,USD,2024-10-16,2024-10-24,Delivered,Overdue,Sarah Ahmed,Kano,1,0.62,0,232.44,1034.55,68.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,8.0,1,37.8,Medium Risk,16.6,0.9,0.24380093500004923,2.0
PO102103,2024-08-27,SUP1001,Raw Materials Supplier 2 (UK),MAT2004,Raw Materials Item 5,Raw Materials,635,320913.08,203779807.97,131970.66,USD,2024-09-10,2024-09-16,Delivered,Paid,John Obi,Ibadan,1,0.62,0,232.44,1034.55,68.0,None,0,Raw Materials Supplier 2 (UK),70.0,83.6,8.2,4.93,67.0,5.4,6.0,1,37.8,Medium Risk,16.6,0.9,2.1884972182258613,0.0
PO101875,2024-09-08,SUP1001,Raw Materials Supplier 2 (UK),MAT2000,Raw Materials Item 1,Raw Materials,445,197911.64,88070678.48,59281.71,USD,2024-11-20,2024-12-10,Delivered,Paid,Chidi Eze,Lagos,1,0.37,0,211.8,1063.88,51.0,None,0,Raw Materials Supplier 2 (UK),56.0,64.5,9.7,1.51,80.0,5.8,20.0,1,37.2,Medium Risk,16.4,1.0,0.9458367675423432,12.0
PO101268,2024-09-24,SUP1001,Raw Materials Supplier 2 (UK),MAT2005,Raw Materials Item 6,Raw Materials,810,34703.9,28110155.94,31101.72,USD,2024-10-05,2024-10-05,Delivered,Pending,John Obi,Lagos,1,0.76,0,253.0,1129.37,57.0,None,0,Raw Materials Supplier 2 (UK),56.0,64.5,9.7,1.51,80.0,5.8,0.0,0,38.1,Medium Risk,16.8,1.0,0.3018895674278085,16.0
PO101781,2024-09-26,SUP1001,Raw Materials Supplier 2 (UK),MAT2020,Raw Materials Item 21,Raw Materials,548,190759.49,104536198.31,72051.5,USD,2024-12-03,2024-12-04,Delivered,Paid,John Obi,Lagos,1,0.85,0,234.39,1028.79,44.0,None,0,Raw Materials Supplier 2 (UK),56.0,64.5,9.7,1.51,80.0,5.8,1.0,1,36.2,Medium Risk,12.6,0.9,1.122668538577787,2.0
PO101706,2024-09-29,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,985,307950.07,303330819.42,311145.79,USD,2024-11-02,2024-11-19,Delivered,Overdue,Chidi Eze,Kano,1,0.86,0,252.02,1178.95,45.0,None,0,Raw Materials Supplier 2 (UK),56.0,64.5,9.7,1.51,80.0,5.8,17.0,1,36.3,Medium Risk,7.0,0.9,3.2576272453871873,3.0
PO101694,2024-10-13,SUP1001,Raw Materials Supplier 2 (UK),MAT2004,Raw Materials Item 5,Raw Materials,913,358548.6,327354869.55,395448.79,USD,2024-10-27,2024-10-27,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.39,0,219.4,1063.07,45.0,None,0,Raw Materials Supplier 2 (UK),73.0,65.1,4.2,7.42,81.0,24.2,0.0,0,32.9,Medium Risk,8.8,0.9,3.5156339998530854,14.0
PO100628,2024-10-17,SUP1001,Raw Materials Supplier 2 (UK),MAT2014,Raw Materials Item 15,Raw Materials,431,148745.43,64109281.04,53811.36,USD,2024-11-17,2024-12-12,Delivered,Pending,John Obi,Kano,1,0.58,0,257.43,1182.7,58.0,None,0,Raw Materials Supplier 2 (UK),73.0,65.1,4.2,7.42,81.0,24.2,25.0,1,34.8,Medium Risk,7.6,0.8,0.6885028728614517,4.0
PO102410,2024-10-19,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,593,409280.73,242703474.42,152197.54,USD,2024-11-22,2024-11-23,Delivered,Pending,Chidi Eze,Kano,1,0.69,0,282.31,1034.27,58.0,None,0,Raw Materials Supplier 2 (UK),73.0,65.1,4.2,7.42,81.0,24.2,1.0,1,34.8,Medium Risk,8.6,0.8,2.6065186924708312,2.0
PO100474,2024-10-20,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,164,22055.32,3617071.92,3714.58,USD,2025-01-04,2025-01-30,Delivered,Overdue,Chidi Eze,Lagos,1,0.65,0,280.85,1174.08,41.0,None,0,Raw Materials Supplier 2 (UK),73.0,65.1,4.2,7.42,81.0,24.2,26.0,1,32.3,Medium Risk,8.8,0.8,0.038845614361400535,1.0
PO102117,2024-11-04,SUP1001,Raw Materials Supplier 2 (UK),MAT2003,Raw Materials Item 4,Raw Materials,646,265270.1,171364487.34,133320.33,USD,2024-11-11,2024-11-13,Delivered,Paid,Sarah Ahmed,Kano,0,0.15,0,228.07,1182.19,35.0,None,0,Raw Materials Supplier 2 (UK),74.0,93.9,10.3,7.09,51.0,23.9,2.0,1,36.6,Medium Risk,13.8,0.8,1.8403722507261466,15.0
PO100298,2024-11-06,SUP1001,Raw Materials Supplier 2 (UK),MAT2011,Raw Materials Item 12,Raw Materials,401,206358.03,82749570.74,76106.28,USD,2025-01-04,2025-01-30,Delivered,Pending,Sarah Ahmed,Ibadan,0,0.28,0,269.38,1204.38,28.0,None,0,Raw Materials Supplier 2 (UK),74.0,93.9,10.3,7.09,51.0,23.9,26.0,1,35.5,Medium Risk,10.8,0.8,0.8886906272898973,2.0
PO101217,2024-11-20,SUP1001,Raw Materials Supplier 2 (UK),MAT2020,Raw Materials Item 21,Raw Materials,139,237845.86,33060574.73,26034.95,USD,2025-01-27,2025-02-12,Delivered,Pending,Chidi Eze,Kano,0,0.25,0,256.08,1187.91,34.0,None,0,Raw Materials Supplier 2 (UK),74.0,93.9,10.3,7.09,51.0,23.9,16.0,1,36.4,Medium Risk,16.0,0.8,0.35505468647906885,14.0
PO100737,2024-11-26,SUP1001,Raw Materials Supplier 2 (UK),MAT2002,Raw Materials Item 3,Raw Materials,347,209669.14,72755192.46,54912.14,USD,2025-02-16,2025-03-03,Delivered,Paid,John Obi,Lagos,0,0.34,0,230.8,1227.69,32.0,None,0,Raw Materials Supplier 2 (UK),74.0,93.9,10.3,7.09,51.0,23.9,15.0,1,36.1,Medium Risk,14.2,0.8,0.7813558070171399,6.0
PO102328,2024-11-27,SUP1001,Raw Materials Supplier 2 (UK),MAT2001,Raw Materials Item 2,Raw Materials,205,55852.13,11449686.97,12941.66,USD,2025-01-01,2025-01-10,Delivered,Pending,John Obi,Ibadan,0,0.29,0,277.23,1069.76,38.0,None,0,Raw Materials Supplier 2 (UK),74.0,93.9,10.3,7.09,51.0,23.9,9.0,1,37.0,Medium Risk,17.0,0.9,0.12296413630486303,1.0
PO100131,2024-11-30,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,828,333719.93,276320105.67,182801.06,USD,2025-01-03,2025-01-22,Delivered,Paid,Sarah Ahmed,Kano,0,0.16,0,244.62,1232.94,40.0,None,0,Raw Materials Supplier 2 (UK),74.0,93.9,10.3,7.09,51.0,23.9,19.0,1,37.3,Medium Risk,13.6,0.9,2.967545158780881,3.0
PO102028,2024-12-03,SUP1001,Raw Materials Supplier 2 (UK),MAT2008,Raw Materials Item 9,Raw Materials,857,341743.27,292873983.59,246432.86,USD,2025-02-21,2025-03-23,Delivered,Paid,Chidi Eze,Kano,0,0.26,1,277.5,1224.57,38.0,None,0,Raw Materials Supplier 2 (UK),61.0,75.7,14.9,7.0,36.0,9.4,30.0,1,46.7,Medium Risk,17.0,0.9,3.145325853245486,3.0
