po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location,rainy_season,rainfall_index,holiday_period,fuel_price_ngn,usd_ngn_rate,port_congestion_index,disruption_event,disruption_severity,supplier_name_supplier,financial_health_score,capacity_utilization_pct,employee_turnover_pct,quality_defect_rate,inventory_days,payment_default_risk,delivery_delay_days,is_late_delivery,composite_risk_score,risk_category
PO100014,2024-10-18,SUP1038,Services Supplier 11 (CHI),MAT2064,Services Item 11,Services,720,365557.18,263201167.54,271016.66,USD,2024-11-25,2024-12-11,Delivered,Overdue,John Obi,Lagos,1,0.34,0,245.56,1021.96,51.0,None,0,Services Supplier 11 (CHI),68,76.9,9.0,6.38,70,12.1,16.0,1,39.0,Medium Risk
PO100015,2025-04-30,SUP1030,Services Supplier 3 (CHI),MAT2054,Services Item 1,Services,936,319659.99,299201749.2,192184.1,USD,2025-06-30,2025-06-30,Delivered,Overdue,Sarah Ahmed,Lagos,1,0.32,0,267.19,1240.5,58.0,None,0,Services Supplier 3 (CHI),38,90.4,5.6,5.74,46,12.4,0.0,0,47.7,Medium Risk
PO100016,2025-02-19,SUP1023,Equipment Supplier 5 (IND),MAT2044,Equipment Item 6,Equipment,781,307867.6,240444598.56,158886.21,USD,2025-05-20,2025-06-18,Delivered,Paid,Sarah Ahmed,Lagos,0,0.12,0,238.59,1217.38,31.0,None,0,Equipment Supplier 5 (IND),45,73.2,12.8,6.75,31,20.2,29.0,1,49.6,Medium Risk
PO100017,2024-11-30,SUP1030,Services Supplier 3 (CHI),MAT2065,Services Item 12,Services,507,68945.44,34955338.35,32702.05,USD,2024-12-20,2025-01-09,Delivered,Overdue,John Obi,Kano,0,0.16,0,244.62,1232.94,40.0,None,0,Services Supplier 3 (CHI),60,94.6,3.3,4.42,15,12.5,20.0,1,31.9,Medium Risk
PO100018,2025-08-24,SUP1004,Raw Materials Supplier 5 (NIG),MAT2008,Raw Materials Item 9,Raw Materials,938,364567.33,341964158.03,,NGN,2025-11-12,2025-11-08,Delivered,Overdue,John Obi,Ibadan,1,0.35,0,275.73,1438.08,55.0,None,0,Raw Materials Supplier 5 (NIG),62,82.2,6.2,1.76,50,21.7,-4.0,0,32.3,Medium Risk
PO100019,2024-08-29,SUP1005,Raw Materials Supplier 6 (NIG),MAT2009,Raw Materials Item 10,Raw Materials,276,122077.19,33693303.57,,NGN,2024-11-04,2024-11-04,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.8,0,248.34,1151.81,48.0,None,0,Raw Materials Supplier 6 (NIG),59,66.3,2.4,1.3,39,12.0,0.0,0,27.9,Low Risk
PO100020,2024-11-09,SUP1007,Raw Materials Supplier 8 (USA),MAT2008,Raw Materials Item 9,Raw Materials,491,310347.68,152380711.41,123732.32,USD,2025-01-28,2025-02-14,Delivered,Paid,Chidi Eze,Lagos,0,0.23,0,227.43,1080.52,35.0,None,0,Raw Materials Supplier 8 (USA),84,88.8,10.3,6.04,34,20.6,17.0,1,31.0,Medium Risk
PO100021,2024-03-27,SUP1008,Packaging Supplier 1 (CHI),MAT2036,Packaging Item 16,Packaging,214,141955.3,30378433.14,23420.84,USD,2024-05-23,2024-05-23,Delivered,Paid,Chidi Eze,Lagos,0,0.12,0,234.99,943.82,26.0,None,0,Packaging Supplier 1 (CHI),57,75.7,6.7,4.43,64,19.5,0.0,0,34.4,Medium Risk
PO100022,2025-06-15,SUP1020,Equipment Supplier 2 (CHI),MAT2053,Equipment Item 15,Equipment,795,317959.79,252778036.0,196758.19,USD,2025-07-25,2025-07-27,Delivered,Paid,Sarah Ahmed,Lagos,1,0.48,0,326.88,1384.48,50.0,None,0,Equipment Supplier 2 (CHI),60,75.1,12.5,2.83,31,12.2,2.0,1,40.2,Medium Risk
PO100023,2025-10-09,SUP1001,Raw Materials Supplier 2 (UK),MAT2009,Raw Materials Item 10,Raw Materials,961,118803.73,114170386.65,85082.55,USD,2025-12-15,2026-01-04,Delivered,Paid,John Obi,Kano,1,0.68,0,345.83,1524.13,43.0,None,0,Raw Materials Supplier 2 (UK),58,78.2,6.9,2.04,55,13.2,20.0,1,33.2,Medium Risk
PO100024,2026-02-01,SUP1017,Packaging Supplier 10 (IND),MAT2030,Packaging Item 10,Packaging,114,480614.5,54790053.14,52618.68,USD,2026-02-16,2026-02-18,Delivered,Paid,Sarah Ahmed,Kano,0,0.14,0,282.11,1754.83,28.0,None,0,Packaging Supplier 10 (IND),65,69.6,9.4,4.48,69,9.2,2.0,1,34.3,Medium Risk
PO100025,2025-05-08,SUP1024,Equipment Supplier 6 (IND),MAT2046,Equipment Item 8,Equipment,80,490318.63,39225490.3,36557.35,USD,2025-05-28,2025-06-23,Delivered,Pending,Chidi Eze,Ibadan,1,0.49,0,315.88,1276.82,49.0,None,0,Equipment Supplier 6 (IND),41,66.1,9.2,5.72,77,20.2,26.0,1,48.7,Medium Risk
PO100026,2026-02-18,SUP1018,Packaging Supplier 11 (IND),MAT2023,Packaging Item 3,Packaging,455,426442.82,194031481.88,159382.21,USD,2026-04-24,,Pending,Pending,Sarah Ahmed,Ibadan,0,0.17,0,282.39,1808.03,31.0,None,0,Packaging Supplier 11 (IND),84,68.9,3.2,6.67,45,10.9,,0,24.3,Low Risk
PO100027,2025-05-16,SUP1021,Equipment Supplier 3 (NIG),MAT2047,Equipment Item 9,Equipment,340,157885.74,53681149.97,,NGN,2025-06-05,2025-06-05,Delivered,Overdue,John Obi,Ibadan,1,0.85,0,296.76,1374.55,64.0,None,0,Equipment Supplier 3 (NIG),40,74.6,8.2,4.21,59,19.0,0.0,0,48.1,Medium Risk
PO100028,2025-09-30,SUP1039,Services Supplier 12 (IND),MAT2064,Services Item 11,Services,354,345639.95,122356541.23,82630.78,USD,2025-11-07,2025-11-07,Delivered,Pending,Sarah Ahmed,Ibadan,1,0.77,0,309.68,1596.29,47.0,None,0,Services Supplier 12 (IND),45,94.8,8.3,5.11,84,5.1,0.0,0,45.0,Medium Risk
PO100029,2025-10-27,SUP1021,Equipment Supplier 3 (NIG),MAT2039,Equipment Item 1,Equipment,579,265415.55,153675605.4,,NGN,2026-01-14,2026-01-14,Delivered,Overdue,Sarah Ahmed,Kano,1,0.71,0,267.62,1545.31,48.0,None,0,Equipment Supplier 3 (NIG),24,66.1,4.0,4.19,68,28.9,0.0,0,47.9,Medium Risk
PO100030,2024-10-28,SUP1032,Services Supplier 5 (NIG),MAT2070,Services Item 17,Services,671,186626.6,125226450.26,,NGN,2024-11-12,2024-11-08,Delivered,Paid,Sarah Ahmed,Kano,1,0.49,0,260.99,1167.18,44.0,None,0,Services Supplier 5 (NIG),80,71.0,2.5,4.81,35,11.8,-4.0,0,24.3,Low Risk
PO100031,2024-10-31,SUP1024,Equipment Supplier 6 (IND),MAT2041,Equipment Item 3,Equipment,689,72169.83,49725011.72,42189.6,USD,2024-12-21,2025-01-12,Delivered,Pending,Sarah Ahmed,Kano,1,0.7,0,250.93,1031.46,49.0,None,0,Equipment Supplier 6 (IND),49,92.3,5.6,2.38,63,25.0,22.0,1,36.9,Medium Risk
PO100032,2025-06-03,SUP1026,Equipment Supplier 8 (NIG),MAT2042,Equipment Item 4,Equipment,323,417957.59,135000302.07,,NGN,2025-07-27,2025-07-27,Delivered,Paid,Chidi Eze,Kano,1,0.79,0,300.91,1330.61,58.0,None,0,Equipment Supplier 8 (NIG),73,74.0,14.0,4.88,19,14.1,0.0,0,40.8,Medium Risk
PO100033,2026-01-31,SUP1012,Packaging Supplier 5 (USA),MAT2028,Packaging Item 8,Packaging,206,273751.61,56392831.83,47494.35,USD,2026-04-12,,Pending,Pending,Chidi Eze,Ibadan,0,0.12,1,300.84,1753.99,63.0,None,0,Packaging Supplier 5 (USA),66,79.4,7.7,7.44,20,7.7,,0,41.9,Medium Risk
PO100034,2024-06-06,SUP1010,Packaging Supplier 3 (NIG),MAT2030,Packaging Item 10,Packaging,313,400623.74,125395231.36,,NGN,2024-06-21,2024-06-21,Partial,Paid,Sarah Ahmed,Lagos,1,0.52,0,252.58,958.49,45.0,None,0,Packaging Supplier 3 (NIG),52,84.3,4.3,5.52,88,26.7,0.0,0,38.5,Medium Risk
PO100035,2024-04-20,SUP1027,Equipment Supplier 9 (IND),MAT2051,Equipment Item 13,Equipment,724,57211.61,41421206.75,31612.11,USD,2024-06-20,2024-06-21,Delivered,Pending,Sarah Ahmed,Ibadan,1,0.82,0,249.67,965.57,66.0,Political Unrest,7,Equipment Supplier 9 (IND),35,76.5,8.7,6.21,34,22.3,1.0,1,64.4,High Risk
PO100036,2025-05-21,SUP1019,Equipment Supplier 1 (NIG),MAT2043,Equipment Item 5,Equipment,198,98023.84,19408719.45,,NGN,2025-08-05,2025-08-05,Delivered,Paid,John Obi,Ibadan,1,0.65,0,277.76,1340.6,63.0,None,0,Equipment Supplier 1 (NIG),64,85.4,4.5,1.85,33,10.6,0.0,0,31.1,Medium Risk
PO100037,2025-07-12,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,600,33908.36,20345016.89,24137.29,USD,2025-08-31,2025-08-31,Delivered,Pending,John Obi,Lagos,1,0.82,0,256.04,1320.3,63.0,None,0,Raw Materials Supplier 2 (UK),80,85.9,11.9,5.73,27,13.5,0.0,0,37.9,Medium Risk
PO100038,2024-06-25,SUP1037,Services Supplier 10 (NIG),MAT2056,Services Item 3,Services,630,454297.8,286207612.53,,NGN,2024-09-14,2024-10-12,Delivered,Overdue,Sarah Ahmed,Kano,1,0.63,0,224.65,1005.93,59.0,None,0,Services Supplier 10 (NIG),73,94.5,8.3,0.86,26,28.9,28.0,1,29.2,Low Risk
PO100039,2025-05-09,SUP1027,Equipment Supplier 9 (IND),MAT2040,Equipment Item 2,Equipment,592,40744.16,24120541.78,18731.42,USD,2025-06-12,2025-06-20,Delivered,Pending,Chidi Eze,Lagos,1,0.88,0,263.55,1405.45,55.0,None,0,Equipment Supplier 9 (IND),46,78.1,4.2,6.95,67,12.8,8.0,1,44.5,Medium Risk
PO100040,2024-08-03,SUP1008,Packaging Supplier 1 (CHI),MAT2021,Packaging Item 1,Packaging,187,483218.74,90361904.59,97664.67,USD,2024-08-31,2024-09-25,Delivered,Paid,Sarah Ahmed,Kano,1,0.82,0,232.5,1071.05,67.0,Strike,5,Packaging Supplier 1 (CHI),50,89.9,9.1,0.54,78,9.8,25.0,1,47.5,Medium Risk
PO100041,2024-12-10,SUP1038,Services Supplier 11 (CHI),MAT2068,Services Item 15,Services,82,172053.65,14108399.69,9166.48,USD,2025-01-15,2025-01-22,Delivered,Paid,Chidi Eze,Lagos,0,0.21,1,261.55,1205.54,54.0,None,0,Services Supplier 11 (CHI),76,80.2,3.9,5.48,55,5.3,7.0,1,29.8,Low Risk
PO100042,2024-11-23,SUP1018,Packaging Supplier 11 (IND),MAT2023,Packaging Item 3,Packaging,83,404853.43,33602835.01,23431.26,USD,2025-01-27,2025-02-09,Delivered,Overdue,Chidi Eze,Ibadan,0,0.34,0,254.5,1056.06,40.0,Port Closure,6,Packaging Supplier 11 (IND),83,61.3,4.1,1.52,48,20.8,13.0,1,28.2,Low Risk
PO100043,2026-02-10,SUP1029,Services Supplier 2 (NIG),MAT2054,Services Item 1,Services,975,264717.7,258099761.42,,NGN,2026-04-12,,Pending,Pending,John Obi,Kano,0,0.18,0,292.5,1785.46,24.0,None,0,Services Supplier 2 (NIG),64,77.5,8.9,7.15,90,16.2,,0,37.6,Medium Risk
PO100044,2024-04-05,SUP1036,Services Supplier 9 (NIG),MAT2060,Services Item 7,Services,762,173429.42,132153221.41,,NGN,2024-06-22,2024-06-22,Delivered,Paid,Chidi Eze,Ibadan,1,0.32,0,191.44,921.09,57.0,None,0,Services Supplier 9 (NIG),65,81.0,10.8,1.63,53,22.5,0.0,0,35.8,Medium Risk
PO100045,2025-10-07,SUP1007,Raw Materials Supplier 8 (USA),MAT2016,Raw Materials Item 17,Raw Materials,791,266900.83,211118555.83,179461.44,USD,2025-10-23,2025-11-04,Delivered,Overdue,Chidi Eze,Ibadan,1,0.63,0,303.24,1399.74,40.0,None,0,Raw Materials Supplier 8 (USA),78,61.4,7.0,6.24,21,8.8,12.0,1,31.2,Medium Risk
PO100046,2024-05-28,SUP1030,Services Supplier 3 (CHI),MAT2062,Services Item 9,Services,366,438138.04,160358523.88,151733.02,USD,2024-06-26,2024-06-26,Delivered,Overdue,Chidi Eze,Ibadan,1,0.43,0,197.93,1038.73,41.0,Weather Event,4,Services Supplier 3 (CHI),40,66.2,4.4,1.51,77,8.6,0.0,0,42.8,Medium Risk
PO100047,2024-12-16,SUP1030,Services Supplier 3 (CHI),MAT2061,Services Item 8,Services,843,562016.4,473779822.49,571261.13,USD,2025-01-11,2025-01-11,Delivered,Paid,Sarah Ahmed,Kano,0,0.3,1,282.99,1147.96,45.0,None,0,Services Supplier 3 (CHI),51,94.5,11.9,7.49,75,20.1,0.0,0,49.5,Medium Risk
PO100048,2024-02-26,SUP1036,Services Supplier 9 (NIG),MAT2066,Services Item 13,Services,433,380181.6,164618632.76,,NGN,2024-05-03,2024-05-29,Delivered,Paid,John Obi,Ibadan,0,0.11,0,194.84,815.17,25.0,None,0,Services Supplier 9 (NIG),85,93.5,6.6,5.12,30,17.2,26.0,1,24.0,Low Risk
PO100049,2025-09-09,SUP1010,Packaging Supplier 3 (NIG),MAT2036,Packaging Item 16,Packaging,959,115558.64,110820739.03,,NGN,2025-11-05,2025-12-01,Delivered,Paid,Chidi Eze,Lagos,1,0.77,0,319.91,1572.5,68.0,None,0,Packaging Supplier 3 (NIG),57,81.2,7.5,1.85,80,18.5,26.0,1,37.7,Medium Risk
PO100050,2025-01-08,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,575,36366.91,20910971.64,21342.94,USD,2025-02-14,2025-02-16,Delivered,Paid,Chidi Eze,Lagos,0,0.22,1,258.0,1155.35,52.0,Political Unrest,8,Raw Materials Supplier 2 (UK),57,68.0,7.0,1.31,40,15.5,2.0,1,46.0,Medium Risk
PO100051,2025-07-19,SUP1019,Equipment Supplier 1 (NIG),MAT2045,Equipment Item 7,Equipment,531,378253.57,200852646.88,,NGN,2025-10-04,2025-10-29,Delivered,Paid,Sarah Ahmed,Kano,1,0.82,0,297.12,1400.29,60.0,None,0,Equipment Supplier 1 (NIG),69,63.0,8.1,7.04,65,23.7,25.0,1,40.1,Medium Risk
PO100052,2024-07-22,SUP1039,Services Supplier 12 (IND),MAT2068,Services Item 15,Services,205,186398.67,38211726.77,31669.12,USD,2024-08-27,2024-08-26,Delivered,Overdue,Sarah Ahmed,Kano,1,0.47,0,220.92,1035.9,70.0,None,0,Services Supplier 12 (IND),55,73.7,11.5,3.52,55,15.3,-1.0,0,45.3,Medium Risk
PO100053,2024-11-24,SUP1006,Raw Materials Supplier 7 (NIG),MAT2010,Raw Materials Item 11,Raw Materials,299,109035.31,32601557.29,,NGN,2024-12-13,2025-01-08,Delivered,Overdue,Chidi Eze,Ibadan,0,0.18,0,218.98,1227.34,30.0,None,0,Raw Materials Supplier 7 (NIG),78,78.3,5.2,2.5,70,16.5,26.0,1,22.2,Low Risk
PO100054,2025-02-12,SUP1023,Equipment Supplier 5 (IND),MAT2040,Equipment Item 2,Equipment,575,42848.79,24638052.96,22362.29,USD,2025-03-18,2025-03-25,Delivered,Paid,Chidi Eze,Ibadan,0,0.38,0,254.13,1244.88,36.0,None,0,Equipment Supplier 5 (IND),45,73.2,12.8,6.75,31,20.2,7.0,1,50.3,Medium Risk
PO100055,2024-10-21,SUP1037,Services Supplier 10 (NIG),MAT2061,Services Item 8,Services,54,475863.89,25696650.25,,NGN,2024-11-16,2024-12-05,Delivered,Paid,Sarah Ahmed,Lagos,1,0.64,0,226.59,1146.61,55.0,None,0,Services Supplier 10 (NIG),80,73.4,9.6,6.89,52,13.2,19.0,1,36.2,Medium Risk
PO100056,2024-07-03,SUP1019,Equipment Supplier 1 (NIG),MAT2045,Equipment Item 7,Equipment,900,297395.65,267656086.25,,NGN,2024-09-18,2024-09-19,Delivered,Overdue,John Obi,Kano,1,0.48,0,247.88,1010.22,49.0,None,0,Equipment Supplier 1 (NIG),57,63.9,5.2,5.85,31,26.9,1.0,1,38.5,Medium Risk
PO100057,2024-07-21,SUP1030,Services Supplier 3 (CHI),MAT2062,Services Item 9,Services,901,480758.23,433163167.39,469050.72,USD,2024-08-19,2024-08-30,Delivered,Overdue,Chidi Eze,Lagos,1,0.77,0,228.56,1102.06,55.0,None,0,Services Supplier 3 (CHI),40,88.3,4.5,7.87,67,13.8,11.0,1,48.6,Medium Risk
PO100058,2025-01-26,SUP1037,Services Supplier 10 (NIG),MAT2069,Services Item 16,Services,987,12032.89,11876459.53,,NGN,2025-02-26,2025-03-24,Delivered,Paid,Chidi Eze,Lagos,0,0.39,1,260.98,1243.97,51.0,None,0,Services Supplier 10 (NIG),78,81.3,8.8,6.26,72,25.7,26.0,1,34.6,Medium Risk
PO100059,2024-10-22,SUP1027,Equipment Supplier 9 (IND),MAT2044,Equipment Item 6,Equipment,242,351542.16,85073201.89,74158.73,USD,2025-01-20,2025-01-20,Delivered,Paid,Sarah Ahmed,Lagos,1,0.57,0,271.02,1197.6,69.0,None,0,Equipment Supplier 9 (IND),56,86.3,11.9,5.68,53,11.5,0.0,0,48.4,Medium Risk
PO100060,2026-02-04,SUP1026,Equipment Supplier 8 (NIG),MAT2045,Equipment Item 7,Equipment,935,287851.5,269141155.24,,NGN,2026-04-22,,Pending,Pending,Sarah Ahmed,Ibadan,0,0.31,0,340.73,1524.19,31.0,None,0,Equipment Supplier 8 (NIG),72,67.0,4.6,2.97,53,24.9,,0,24.9,Low Risk
PO100061,2025-03-14,SUP1036,Services Supplier 9 (NIG),MAT2065,Services Item 12,Services,159,75832.63,12057387.69,,NGN,2025-04-03,2025-04-09,Delivered,Paid,Chidi Eze,Ibadan,0,0.37,0,277.33,1309.49,38.0,None,0,Services Supplier 9 (NIG),82,87.3,3.8,3.95,85,29.4,6.0,1,22.6,Low Risk
PO100062,2025-11-20,SUP1018,Packaging Supplier 11 (IND),MAT2035,Packaging Item 15,Packaging,519,567935.23,294758386.27,322318.49,USD,2025-12-23,2026-01-03,Delivered,Paid,Sarah Ahmed,Ibadan,0,0.16,0,331.09,1496.78,34.0,None,0,Packaging Supplier 11 (IND),76,88.0,2.7,7.38,45,10.1,11.0,1,28.5,Low Risk
PO100063,2026-01-18,SUP1010,Packaging Supplier 3 (NIG),MAT2033,Packaging Item 13,Packaging,85,297401.92,25279163.07,,NGN,2026-01-30,2026-02-13,Delivered,Overdue,Chidi Eze,Ibadan,0,0.14,1,356.1,1635.12,52.0,None,0,Packaging Supplier 3 (NIG),65,84.2,3.8,5.98,50,19.3,14.0,1,34.6,Medium Risk
PO100064,2025-06-06,SUP1024,Equipment Supplier 6 (IND),MAT2048,Equipment Item 10,Equipment,213,170638.2,36345936.53,24513.87,USD,2025-08-29,2025-08-29,Delivered,Pending,Chidi Eze,Ibadan,1,0.68,0,300.39,1425.86,70.0,None,0,Equipment Supplier 6 (IND),37,62.8,13.4,5.38,83,5.6,0.0,0,57.2,Medium Risk
PO100065,2026-02-10,SUP1027,Equipment Supplier 9 (IND),MAT2045,Equipment Item 7,Equipment,32,414674.61,13269587.49,10002.83,USD,2026-04-28,,Pending,Pending,Chidi Eze,Kano,0,0.18,0,292.5,1785.46,24.0,None,0,Equipment Supplier 9 (IND),62,65.5,13.5,4.53,23,19.0,,0,39.1,Medium Risk
PO100066,2024-04-15,SUP1029,Services Supplier 2 (NIG),MAT2070,Services Item 17,Services,862,199278.24,171777842.38,,NGN,2024-04-30,2024-04-30,Delivered,Pending,John Obi,Kano,1,0.38,0,249.0,847.44,53.0,None,0,Services Supplier 2 (NIG),72,61.9,13.9,7.91,43,22.2,0.0,0,44.9,Medium Risk
PO100067,2024-09-06,SUP1025,Equipment Supplier 7 (GER),MAT2042,Equipment Item 4,Equipment,704,506630.74,356668043.17,252244.65,USD,2024-10-30,2024-11-02,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.37,0,266.96,996.96,51.0,None,0,Equipment Supplier 7 (GER),68,88.3,9.7,5.2,57,21.8,3.0,1,38.0,Medium Risk
PO100068,2024-03-30,SUP1026,Equipment Supplier 8 (NIG),MAT2048,Equipment Item 10,Equipment,759,123234.32,93534848.05,,NGN,2024-06-22,2024-07-07,Delivered,Paid,John Obi,Lagos,0,0.1,0,209.68,959.45,38.0,None,0,Equipment Supplier 8 (NIG),78,86.9,12.6,6.55,63,14.1,15.0,1,36.9,Medium Risk
PO100069,2025-08-30,SUP1027,Equipment Supplier 9 (IND),MAT2044,Equipment Item 6,Equipment,553,321554.39,177819580.23,174671.67,USD,2025-11-28,2025-11-28,Delivered,Overdue,Sarah Ahmed,Kano,1,0.38,0,332.54,1578.85,50.0,Port Closure,1,Equipment Supplier 9 (IND),53,92.9,9.6,4.27,73,10.5,0.0,0,43.8,Medium Risk
PO100070,2025-02-05,SUP1005,Raw Materials Supplier 6 (NIG),MAT2014,Raw Materials Item 15,Raw Materials,489,154028.86,75320112.76,,NGN,2025-03-08,2025-03-08,Delivered,Overdue,Chidi Eze,Ibadan,0,0.2,0,263.5,1290.78,26.0,None,0,Raw Materials Supplier 6 (NIG),85,78.2,3.3,2.23,64,13.8,0.0,0,16.5,Low Risk
PO100071,2024-05-27,SUP1038,Services Supplier 11 (CHI),MAT2064,Services Item 11,Services,24,383476.04,9203424.85,10238.87,USD,2024-07-04,2024-07-15,Delivered,Pending,John Obi,Kano,1,0.8,0,223.68,999.61,42.0,None,0,Services Supplier 11 (CHI),80,72.7,7.6,4.05,21,9.2,11.0,1,28.0,Low Risk
PO100072,2024-10-21,SUP1032,Services Supplier 5 (NIG),MAT2057,Services Item 4,Services,35,236226.95,8267943.16,,NGN,2024-11-02,2024-11-17,Delivered,Paid,Chidi Eze,Lagos,1,0.64,0,226.59,1146.61,55.0,None,0,Services Supplier 5 (NIG),80,71.0,2.5,4.81,35,11.8,15.0,1,26.0,Low Risk
