po_number,supplier_id,supplier_name,po_date,expected_delivery_date,actual_delivery_date,actual_lead_days,expected_lead_days,lead_time_variance,lateness_flag
PO100284,SUP1001,Raw Materials Supplier 2 (UK),2025-01-04,2025-02-10,2025-02-08,35,37,-2,0
PO100050,SUP1001,Raw Materials Supplier 2 (UK),2025-01-08,2025-02-14,2025-02-16,39,37,2,1
PO100387,SUP1001,Raw Materials Supplier 2 (UK),2025-01-10,2025-01-21,2025-02-13,34,11,23,1
PO102142,SUP1001,Raw Materials Supplier 2 (UK),2025-01-10,2025-03-01,2025-03-01,50,50,0,0
PO101176,SUP1001,Raw Materials Supplier 2 (UK),2025-01-11,2025-02-17,2025-02-17,37,37,0,0
PO101032,SUP1001,Raw Materials Supplier 2 (UK),2025-01-14,2025-02-18,2025-03-05,50,35,15,1
PO100475,SUP1001,Raw Materials Supplier 2 (UK),2025-01-28,2025-02-13,2025-02-13,16,16,0,0
PO100309,SUP1001,Raw Materials Supplier 2 (UK),2025-01-29,2025-02-12,2025-02-12,14,14,0,0
PO100398,SUP1001,Raw Materials Supplier 2 (UK),2025-01-29,2025-03-04,2025-03-04,34,34,0,0
PO100109,SUP1001,Raw Materials Supplier 2 (UK),2025-02-01,2025-04-01,2025-04-01,59,59,0,0
PO100994,SUP1001,Raw Materials Supplier 2 (UK),2025-02-15,2025-03-03,2025-03-02,15,16,-1,0
PO101165,SUP1001,Raw Materials Supplier 2 (UK),2025-02-19,2025-02-26,2025-02-26,7,7,0,0
PO101407,SUP1001,Raw Materials Supplier 2 (UK),2025-02-19,2025-03-07,2025-04-04,44,16,28,1
PO100444,SUP1001,Raw Materials Supplier 2 (UK),2025-02-20,2025-03-27,2025-03-27,35,35,0,0
PO101622,SUP1001,Raw Materials Supplier 2 (UK),2025-02-22,2025-03-01,2025-02-24,2,7,-5,0
PO102421,SUP1001,Raw Materials Supplier 2 (UK),2025-02-24,2025-04-24,2025-04-24,59,59,0,0
PO101299,SUP1001,Raw Materials Supplier 2 (UK),2025-03-03,2025-05-19,2025-05-31,89,77,12,1
PO101995,SUP1001,Raw Materials Supplier 2 (UK),2025-03-05,2025-03-12,2025-03-12,7,7,0,0
PO100889,SUP1001,Raw Materials Supplier 2 (UK),2025-03-08,2025-04-27,2025-04-27,50,50,0,0
PO101423,SUP1001,Raw Materials Supplier 2 (UK),2025-03-10,2025-03-23,2025-03-23,13,13,0,0
PO101264,SUP1001,Raw Materials Supplier 2 (UK),2025-03-12,2025-05-24,2025-05-25,74,73,1,1
PO101275,SUP1001,Raw Materials Supplier 2 (UK),2025-03-18,2025-04-01,2025-04-01,14,14,0,0
PO101193,SUP1001,Raw Materials Supplier 2 (UK),2025-03-19,2025-04-23,2025-05-23,65,35,30,1
PO100262,SUP1001,Raw Materials Supplier 2 (UK),2025-03-23,2025-04-11,2025-04-25,33,19,14,1
PO100518,SUP1001,Raw Materials Supplier 2 (UK),2025-03-27,2025-05-01,2025-05-01,35,35,0,0
PO102238,SUP1001,Raw Materials Supplier 2 (UK),2025-04-07,2025-04-14,2025-04-14,7,7,0,0
PO100739,SUP1001,Raw Materials Supplier 2 (UK),2025-04-08,2025-05-28,2025-06-10,63,50,13,1
PO100894,SUP1001,Raw Materials Supplier 2 (UK),2025-04-21,2025-07-06,2025-07-10,80,76,4,1
PO100362,SUP1001,Raw Materials Supplier 2 (UK),2025-05-06,2025-07-12,2025-07-12,67,67,0,0
PO101854,SUP1001,Raw Materials Supplier 2 (UK),2025-05-09,2025-07-28,2025-07-28,80,80,0,0
PO101370,SUP1001,Raw Materials Supplier 2 (UK),2025-05-12,2025-07-18,2025-07-19,68,67,1,1
PO101421,SUP1001,Raw Materials Supplier 2 (UK),2025-05-19,2025-08-09,2025-08-22,95,82,13,1
PO101398,SUP1001,Raw Materials Supplier 2 (UK),2025-05-25,2025-07-31,2025-08-02,69,67,2,1
PO100781,SUP1001,Raw Materials Supplier 2 (UK),2025-05-26,2025-06-09,2025-06-29,34,14,20,1
PO102082,SUP1001,Raw Materials Supplier 2 (UK),2025-06-04,2025-07-24,2025-07-24,50,50,0,0
PO100153,SUP1001,Raw Materials Supplier 2 (UK),2025-06-16,2025-06-23,2025-06-23,7,7,0,0
PO100212,SUP1001,Raw Materials Supplier 2 (UK),2025-06-26,2025-09-02,2025-09-24,90,68,22,1
PO100616,SUP1001,Raw Materials Supplier 2 (UK),2025-07-07,2025-09-25,2025-10-08,93,80,13,1
PO101595,SUP1001,Raw Materials Supplier 2 (UK),2025-07-11,2025-07-30,2025-08-12,32,19,13,1
PO100037,SUP1001,Raw Materials Supplier 2 (UK),2025-07-12,2025-08-31,2025-08-31,50,50,0,0
PO100328,SUP1001,Raw Materials Supplier 2 (UK),2025-07-12,2025-10-02,2025-10-17,97,82,15,1
PO102084,SUP1001,Raw Materials Supplier 2 (UK),2025-07-14,2025-07-21,2025-08-01,18,7,11,1
PO100766,SUP1001,Raw Materials Supplier 2 (UK),2025-07-28,2025-08-28,2025-09-02,36,31,5,1
PO100389,SUP1001,Raw Materials Supplier 2 (UK),2025-08-04,2025-10-25,2025-10-25,82,82,0,0
PO100765,SUP1001,Raw Materials Supplier 2 (UK),2025-08-05,2025-10-11,2025-10-13,69,67,2,1
PO101784,SUP1001,Raw Materials Supplier 2 (UK),2025-08-09,2025-10-25,2025-11-19,102,77,25,1
PO100213,SUP1001,Raw Materials Supplier 2 (UK),2025-08-18,2025-10-30,2025-11-24,98,73,25,1
PO102382,SUP1001,Raw Materials Supplier 2 (UK),2025-08-18,2025-08-25,2025-08-29,11,7,4,1
PO101880,SUP1001,Raw Materials Supplier 2 (UK),2025-08-27,2025-09-15,2025-10-11,45,19,26,1
PO102314,SUP1001,Raw Materials Supplier 2 (UK),2025-09-05,2025-11-26,2025-12-01,87,82,5,1
PO100799,SUP1001,Raw Materials Supplier 2 (UK),2025-09-14,2025-12-05,2025-12-05,82,82,0,0
PO100655,SUP1001,Raw Materials Supplier 2 (UK),2025-09-21,2025-11-28,2025-12-21,91,68,23,1
PO101409,SUP1001,Raw Materials Supplier 2 (UK),2025-10-01,2025-12-22,2026-01-04,95,82,13,1
PO100023,SUP1001,Raw Materials Supplier 2 (UK),2025-10-09,2025-12-15,2026-01-04,87,67,20,1
PO102126,SUP1001,Raw Materials Supplier 2 (UK),2025-10-15,2025-11-15,2025-12-12,58,31,27,1
PO100443,SUP1001,Raw Materials Supplier 2 (UK),2025-10-17,2025-12-15,2025-12-24,68,59,9,1
PO101736,SUP1001,Raw Materials Supplier 2 (UK),2025-10-23,2025-11-26,2025-11-30,38,34,4,1
PO101871,SUP1001,Raw Materials Supplier 2 (UK),2025-10-30,2025-11-30,2025-12-14,45,31,14,1
PO101171,SUP1001,Raw Materials Supplier 2 (UK),2025-11-17,2026-02-01,2026-02-24,99,76,23,1
PO101993,SUP1001,Raw Materials Supplier 2 (UK),2025-11-18,2025-12-22,2026-01-05,48,34,14,1
PO100987,SUP1001,Raw Materials Supplier 2 (UK),2025-11-28,2025-12-05,2025-12-05,7,7,0,0
PO100544,SUP1001,Raw Materials Supplier 2 (UK),2025-11-30,2026-01-19,2026-02-01,63,50,13,1
PO100435,SUP1001,Raw Materials Supplier 2 (UK),2025-12-07,2026-01-06,2026-01-28,52,30,22,1
PO102148,SUP1001,Raw Materials Supplier 2 (UK),2025-12-08,2026-01-14,2026-01-28,51,37,14,1
PO102104,SUP1001,Raw Materials Supplier 2 (UK),2026-01-31,2026-02-19,2026-02-21,21,19,2,1
PO100430,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-01,2024-03-08,2024-03-27,26,7,19,1
PO100156,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-04,2024-05-10,2024-05-10,67,67,0,0
PO100209,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-08,2024-04-14,2024-04-27,50,37,13,1
PO100823,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-08,2024-04-12,2024-04-12,35,35,0,0
PO100560,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-11,2024-05-26,2024-06-07,88,76,12,1
PO101711,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-14,2024-04-13,2024-04-12,29,30,-1,0
PO100149,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-25,2024-06-10,2024-06-21,88,77,11,1
PO100082,SUP1004,Raw Materials Supplier 5 (NIG),2024-03-27,2024-04-30,2024-05-01,35,34,1,1
PO100562,SUP1004,Raw Materials Supplier 5 (NIG),2024-04-16,2024-07-02,2024-07-08,83,77,6,1
PO102491,SUP1004,Raw Materials Supplier 5 (NIG),2024-04-16,2024-04-27,2024-05-16,30,11,19,1
PO100206,SUP1004,Raw Materials Supplier 5 (NIG),2024-04-25,2024-07-07,2024-07-05,71,73,-2,0
PO102128,SUP1004,Raw Materials Supplier 5 (NIG),2024-04-27,2024-07-16,2024-07-16,80,80,0,0
PO100323,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-03,2024-07-19,2024-07-31,89,77,12,1
PO100270,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-04,2024-07-25,2024-08-14,102,82,20,1
PO100312,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-10,2024-06-29,2024-06-29,50,50,0,0
PO100101,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-13,2024-06-17,2024-07-04,52,35,17,1
PO100436,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-16,2024-06-22,2024-07-20,65,37,28,1
PO100260,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-28,2024-06-13,2024-06-13,16,16,0,0
PO100965,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-28,2024-07-02,2024-07-11,44,35,9,1
PO101452,SUP1004,Raw Materials Supplier 5 (NIG),2024-05-28,2024-07-02,2024-07-02,35,35,0,0
PO100844,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-04,2024-08-20,2024-09-05,93,77,16,1
PO100232,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-12,2024-07-16,2024-08-13,62,34,28,1
PO100612,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-12,2024-08-31,2024-08-30,79,80,-1,0
PO101010,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-13,2024-07-13,2024-07-27,44,30,14,1
PO100671,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-14,2024-08-12,2024-09-06,84,59,25,1
PO101167,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-24,2024-07-28,2024-08-23,60,34,26,1
PO101775,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-25,2024-07-08,2024-07-04,9,13,-4,0
PO102207,SUP1004,Raw Materials Supplier 5 (NIG),2024-06-26,2024-08-24,2024-09-05,71,59,12,1
PO101318,SUP1004,Raw Materials Supplier 5 (NIG),2024-07-11,2024-08-17,2024-08-21,41,37,4,1
PO101659,SUP1004,Raw Materials Supplier 5 (NIG),2024-07-11,2024-07-30,2024-08-17,37,19,18,1
PO101568,SUP1004,Raw Materials Supplier 5 (NIG),2024-07-13,2024-09-18,2024-10-08,87,67,20,1
PO100263,SUP1004,Raw Materials Supplier 5 (NIG),2024-07-20,2024-09-08,2024-09-13,55,50,5,1
PO101155,SUP1004,Raw Materials Supplier 5 (NIG),2024-07-24,2024-07-31,2024-07-31,7,7,0,0
PO100972,SUP1004,Raw Materials Supplier 5 (NIG),2024-07-31,2024-10-19,2024-10-30,91,80,11,1
PO100622,SUP1004,Raw Materials Supplier 5 (NIG),2024-08-04,2024-09-08,2024-09-08,35,35,0,0
PO102271,SUP1004,Raw Materials Supplier 5 (NIG),2024-08-09,2024-10-21,2024-11-09,92,73,19,1
PO100174,SUP1004,Raw Materials Supplier 5 (NIG),2024-08-23,2024-10-21,2024-11-03,72,59,13,1
PO102391,SUP1004,Raw Materials Supplier 5 (NIG),2024-08-25,2024-09-28,2024-10-02,38,34,4,1
PO101308,SUP1004,Raw Materials Supplier 5 (NIG),2024-08-26,2024-10-15,2024-11-07,73,50,23,1
PO100299,SUP1004,Raw Materials Supplier 5 (NIG),2024-08-27,2024-11-12,2024-11-12,77,77,0,0
PO100199,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-07,2024-09-14,2024-09-11,4,7,-3,0
PO101325,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-07,2024-09-18,2024-10-12,35,11,24,1
PO100620,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-10,2024-11-22,2024-12-17,98,73,25,1
PO101760,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-11,2024-11-30,2024-11-30,80,80,0,0
PO102013,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-11,2024-11-09,2024-11-11,61,59,2,1
PO100827,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-18,2024-12-07,2024-12-31,104,80,24,1
PO101416,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-18,2024-10-01,2024-10-01,13,13,0,0
PO102190,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-25,2024-12-01,2024-12-24,90,67,23,1
PO101512,SUP1004,Raw Materials Supplier 5 (NIG),2024-09-26,2024-10-07,2024-10-07,11,11,0,0
PO102061,SUP1004,Raw Materials Supplier 5 (NIG),2024-10-08,2024-11-08,2024-11-26,49,31,18,1
PO102278,SUP1004,Raw Materials Supplier 5 (NIG),2024-10-16,2025-01-06,2025-01-25,101,82,19,1
PO101204,SUP1004,Raw Materials Supplier 5 (NIG),2024-11-06,2024-12-06,2025-01-03,58,30,28,1
PO101517,SUP1004,Raw Materials Supplier 5 (NIG),2024-11-09,2024-12-13,2024-12-14,35,34,1,1
PO101022,SUP1004,Raw Materials Supplier 5 (NIG),2024-11-20,2025-01-27,2025-01-27,68,68,0,0
PO100276,SUP1004,Raw Materials Supplier 5 (NIG),2024-11-29,2025-02-19,2025-02-18,81,82,-1,0
PO100761,SUP1004,Raw Materials Supplier 5 (NIG),2024-12-10,2024-12-24,2024-12-24,14,14,0,0
PO100147,SUP1004,Raw Materials Supplier 5 (NIG),2024-12-11,2025-02-25,2025-03-09,88,76,12,1
PO100169,SUP1004,Raw Materials Supplier 5 (NIG),2024-12-18,2025-01-22,2025-01-22,35,35,0,0
PO102197,SUP1004,Raw Materials Supplier 5 (NIG),2025-01-06,2025-02-06,2025-02-06,31,31,0,0
PO100946,SUP1004,Raw Materials Supplier 5 (NIG),2025-01-10,2025-02-16,2025-02-16,37,37,0,0
PO101142,SUP1004,Raw Materials Supplier 5 (NIG),2025-01-16,2025-03-07,2025-04-02,76,50,26,1
PO100487,SUP1004,Raw Materials Supplier 5 (NIG),2025-01-18,2025-03-27,2025-04-03,75,68,7,1
PO100567,SUP1004,Raw Materials Supplier 5 (NIG),2025-01-23,2025-02-27,2025-03-20,56,35,21,1
PO100178,SUP1004,Raw Materials Supplier 5 (NIG),2025-01-25,2025-02-13,2025-02-13,19,19,0,0
PO100511,SUP1004,Raw Materials Supplier 5 (NIG),2025-02-10,2025-02-23,2025-02-23,13,13,0,0
PO102083,SUP1004,Raw Materials Supplier 5 (NIG),2025-02-19,2025-03-22,2025-04-08,48,31,17,1
PO101383,SUP1004,Raw Materials Supplier 5 (NIG),2025-02-24,2025-05-17,2025-05-27,92,82,10,1
PO102249,SUP1004,Raw Materials Supplier 5 (NIG),2025-03-01,2025-03-20,2025-04-16,46,19,27,1
PO100189,SUP1004,Raw Materials Supplier 5 (NIG),2025-03-15,2025-03-26,2025-03-29,14,11,3,1
PO100926,SUP1004,Raw Materials Supplier 5 (NIG),2025-03-15,2025-04-21,2025-05-10,56,37,19,1
PO101905,SUP1004,Raw Materials Supplier 5 (NIG),2025-03-23,2025-06-11,2025-07-11,110,80,30,1
PO101151,SUP1004,Raw Materials Supplier 5 (NIG),2025-04-04,2025-04-20,2025-04-20,16,16,0,0
PO101413,SUP1004,Raw Materials Supplier 5 (NIG),2025-04-04,2025-04-17,2025-04-17,13,13,0,0
PO102210,SUP1004,Raw Materials Supplier 5 (NIG),2025-04-06,2025-04-20,2025-04-20,14,14,0,0
PO102435,SUP1004,Raw Materials Supplier 5 (NIG),2025-04-12,2025-07-03,2025-07-08,87,82,5,1
PO101948,SUP1004,Raw Materials Supplier 5 (NIG),2025-04-27,2025-06-03,2025-06-09,43,37,6,1
PO100777,SUP1004,Raw Materials Supplier 5 (NIG),2025-05-02,2025-07-14,2025-08-10,100,73,27,1
PO101379,SUP1004,Raw Materials Supplier 5 (NIG),2025-05-23,2025-08-11,2025-08-23,92,80,12,1
PO101742,SUP1004,Raw Materials Supplier 5 (NIG),2025-05-30,2025-08-11,2025-09-02,95,73,22,1
PO100077,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-04,2025-08-02,2025-07-29,55,59,-4,0
PO100098,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-09,2025-06-25,2025-07-15,36,16,20,1
PO100295,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-11,2025-07-18,2025-08-07,57,37,20,1
PO100636,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-15,2025-08-31,2025-08-30,76,77,-1,0
PO101738,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-20,2025-07-25,2025-08-20,61,35,26,1
PO102031,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-26,2025-08-02,2025-08-08,43,37,6,1
PO101822,SUP1004,Raw Materials Supplier 5 (NIG),2025-06-30,2025-07-16,2025-07-16,16,16,0,0
PO101588,SUP1004,Raw Materials Supplier 5 (NIG),2025-07-01,2025-08-05,2025-08-27,57,35,22,1
PO100223,SUP1004,Raw Materials Supplier 5 (NIG),2025-07-04,2025-07-18,2025-07-18,14,14,0,0
PO101467,SUP1004,Raw Materials Supplier 5 (NIG),2025-07-11,2025-08-11,2025-08-11,31,31,0,0
PO101511,SUP1004,Raw Materials Supplier 5 (NIG),2025-07-25,2025-10-06,2025-10-06,73,73,0,0
PO101457,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-21,2025-11-09,2025-11-22,93,80,13,1
PO100018,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-24,2025-11-12,2025-11-08,76,80,-4,0
PO100803,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-24,2025-11-05,2025-11-08,76,73,3,1
PO101564,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-24,2025-09-30,2025-10-06,43,37,6,1
PO102011,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-27,2025-10-01,2025-10-29,63,35,28,1
PO101667,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-28,2025-09-10,2025-09-16,19,13,6,1
PO102427,SUP1004,Raw Materials Supplier 5 (NIG),2025-08-30,2025-10-06,2025-10-11,42,37,5,1
PO100791,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-01,2025-09-12,2025-09-12,11,11,0,0
PO100247,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-02,2025-09-09,2025-10-01,29,7,22,1
PO100214,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-03,2025-10-07,2025-10-15,42,34,8,1
PO102280,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-10,2025-10-10,2025-10-10,30,30,0,0
PO100745,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-11,2025-10-18,2025-10-18,37,37,0,0
PO102434,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-21,2025-10-28,2025-11-03,43,37,6,1
PO102156,SUP1004,Raw Materials Supplier 5 (NIG),2025-09-25,2025-10-09,2025-10-22,27,14,13,1
PO101272,SUP1004,Raw Materials Supplier 5 (NIG),2025-10-02,2025-12-17,2025-12-17,76,76,0,0
PO100480,SUP1004,Raw Materials Supplier 5 (NIG),2025-10-15,2025-11-15,2025-11-15,31,31,0,0
PO100930,SUP1004,Raw Materials Supplier 5 (NIG),2025-10-15,2025-10-26,2025-10-28,13,11,2,1
PO101546,SUP1004,Raw Materials Supplier 5 (NIG),2025-10-26,2026-01-11,2026-01-14,80,77,3,1
PO100183,SUP1004,Raw Materials Supplier 5 (NIG),2025-10-27,2026-01-11,2026-01-10,75,76,-1,0
PO102392,SUP1004,Raw Materials Supplier 5 (NIG),2025-10-27,2025-11-10,2025-11-19,23,14,9,1
PO101177,SUP1004,Raw Materials Supplier 5 (NIG),2025-11-06,2026-01-21,2026-01-21,76,76,0,0
PO100368,SUP1004,Raw Materials Supplier 5 (NIG),2025-11-13,2025-11-20,2025-11-20,7,7,0,0
PO101133,SUP1004,Raw Materials Supplier 5 (NIG),2025-11-13,2025-11-26,2025-12-08,25,13,12,1
PO100667,SUP1004,Raw Materials Supplier 5 (NIG),2025-11-14,2025-12-21,2025-12-21,37,37,0,0
PO101912,SUP1004,Raw Materials Supplier 5 (NIG),2025-11-15,2025-11-22,2025-12-14,29,7,22,1
PO101786,SUP1004,Raw Materials Supplier 5 (NIG),2025-11-19,2025-12-02,2025-12-26,37,13,24,1
